locality,decimalLat,decimalLon,institutio,year,n
"Ekalaka, 15 mi N of, Medicine Rocks",46.0431,-104.469,USNM,1916,14
Jordan,47.318869,-106.909027,UMMZ,1917,10
St marys glacier nat park,48.743685,-113.440766,UMMZ,1927,4
Glasgow,48.18,-106.63,USNM,1919,3
St marys glacier nat park,48.738082,-113.426606,UMMZ,1927,3
2 MI S MILES CITY,46.372145,-105.836885,UMMZ,1934,2
5 MI N HARDIN KENTS RANCH,45.775089,-107.69491,UMMZ,1921,2
14 MI N W OF ALZADA,45.16557,-104.616315,UMMZ,1939,1
4 1/2 MI W GREAT FALLS,47.513574,-105.400337,UMMZ,1934,1
8 MI S WYOLA,45.009866,-107.4019,UMMZ,1921,1
East Pryor Creek,45.4606,-108.317,USNM,1900,1
Musselshell river at shamut,46.337039,-109.526451,UMMZ,1942,1
Pennel cr,46.505771,-104.525336,UMMZ,1926,1
Tongue riv at miles city,46.39829,-105.856263,UMMZ,1926,1
