locality,decimalLat,decimalLon,institutio,year,n
Grafton,48.416668,-97.416664,UMMZ,1930,94
Grafton,48.416668,-97.416664,UMMZ,1931,68
Grafton,48.416668,-97.416664,UMMZ,1923,66
Grafton,48.416668,-97.416664,UMMZ,1929,66
Grafton,48.416668,-97.416664,UMMZ,1927,62
Grafton,48.416668,-97.416664,UMMZ,1928,61
Grafton,48.416668,-97.416664,UMMZ,1913,59
Devils Lake,48.0518,-98.916801,UMMZ,1921,53
Grafton,48.416668,-97.416664,UMMZ,1932,53
Grafton,48.416668,-97.416664,UMMZ,1926,51
Grafton,48.416668,-97.416664,UMMZ,1924,46
Pembina,48.96809,-97.244644,ANSP,1879,41
Devils Lake,48.0518,-98.916801,UMMZ,1920,39
Grafton,48.416668,-97.416664,UMMZ,1914,35
Grafton,48.416668,-97.416664,UMMZ,1933,35
Grafton,48.416668,-97.416664,UMMZ,1934,28
Grafton,48.416668,-97.416664,UMMZ,1925,25
Grafton,48.416668,-97.416664,UMMZ,1921,22
Grafton,48.416668,-97.416664,UMMZ,1935,16
Grafton,48.416668,-97.416664,UMMZ,1922,14
Rock Lake,48.83333,-99.18333,MCZ,1895,11
Brantford,47.6,-98.916667,UMMZ,1922,9
Grafton,48.416668,-97.416664,UMMZ,1937,9
Grafton,48.416668,-97.416664,UMMZ,1939,9
Sweet water lake,48.210261,-98.813782,ANSP,1895,9
no specific locality,47.733333,-98.916667,UMMZ,1901,9
"Ashley, North Dakota, USA",46.0341,-99.3715,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1889,8
Grafton,48.416668,-97.416664,UMMZ,1940,8
Walhalla,48.923333,-97.917833,UMMZ,1927,8
Walhalla,48.923333,-97.917833,UMMZ,1925,7
Walhalla,48.923333,-97.917833,UMMZ,1928,7
Brantford,47.6,-98.916667,UMMZ,1923,6
Grafton,48.416668,-97.416664,UMMZ,1938,6
Sweet water,48.215805,-98.871201,ANSP,1895,6
Grafton,48.416667,-97.416667,UCLA,1924,4
Grafton,48.416668,-97.416664,UMMZ,1915,4
Grafton,48.416668,-97.416664,UMMZ,1943,4
Sweetwater,48.210719,-98.816185,ANSP,1895,4
Wahpeton,46.271667,-96.608611,SBMNH,1917,4
Walhalla,48.923333,-97.917833,UMMZ,1923,4
Walhalla,48.923333,-97.917833,UMMZ,1926,4
no specific locality,47.733333,-98.916667,UMMZ,1921,4
NA,47.468186,-100.302372,ANSP,1895,4
Grafton,48.24,-97.24,NA,1924,3
Grafton,48.24,-97.24,NA,1926,3
Grafton,48.416668,-97.416664,UMMZ,1936,3
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1922,3
Upham,48.583332,-100.73333,UMMZ,1935,3
no specific locality,47.733333,-98.916667,UMMZ,1902,3
Antler,48.970556,-101.283889,SBMNH,1927,2
Antler,48.971317,-101.281738,ANSP,1929,2
Denbigh; SW,48.304722,-100.591111,SBMNH,1929,2
Devils Lake,48.0518,-98.916801,UMMZ,1892,2
Devils Lake,48.06,-98.51,NA,1920,2
Grafton,48.24,-97.24,NA,1914,2
Grafton,48.24,-97.24,NA,1925,2
Grafton,48.416667,-97.416667,UCLA,1925,2
Grafton,48.416668,-97.416664,UMMZ,1912,2
Grafton,48.416668,-97.416664,UMMZ,1916,2
Grafton,48.416668,-97.416664,UMMZ,1941,2
Grafton,48.416668,-97.416664,UMMZ,1942,2
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1923,2
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1930,2
Hettinger,46.000103,-102.633537,ANSP,1932,2
"Jamestown, 2 Mi SE",46.9,-98.683333,UMMZ,1949,2
"Poplar Grove, Indian Reservation",47.968177,-99.077568,YPM,1902,2
"Stump Lake, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1897,2
Sweet water lake,32.422428,-100.307579,ANSP,1895,2
Turtle Mts.,48.94194,-100.06639,MCZ,1895,2
Walhalla,48.923333,-97.917833,UMMZ,1924,2
Walhalla,48.923333,-97.917833,UMMZ,1931,2
Walhalla,48.923333,-97.917833,UMMZ,1940,2
near Grand Harbor,48.169722,-98.984299,ANSP,1897,2
no specific locality,47.733333,-98.916667,UMMZ,1904,2
no specific locality,47.733333,-98.916667,UMMZ,1922,2
NA,47.468186,-100.302372,ANSP,1879,2
NA,47.468186,-100.302372,ANSP,1897,2
NA,48.239595,-100.628258,ANSP,1931,2
NA,48.239595,-100.628258,ANSP,1933,2
1 mile west of Antler,48.97085,-101.30443,CUMV,1926,1
11 mi. SW Antler,48.858144,-101.453409,TCWC,1933,1
"Anselm, Rauson county",46.32,-97.3,NA,1921,1
Antler,48.970556,-101.283889,SBMNH,1917,1
Antler,48.970556,-101.283889,SBMNH,1918,1
Antler,48.970556,-101.283889,SBMNH,1922,1
Antler,48.970556,-101.283889,SBMNH,1924,1
Antler,48.970556,-101.283889,SBMNH,1925,1
Antler,48.970556,-101.283889,SBMNH,1926,1
Antler Creek,48.992222,-101.28,SBMNH,1922,1
Antler Creek; Along,48.992222,-101.28,SBMNH,1934,1
"Antler, W of",48.966667,-101.333333,UMMZ,1925,1
Antler; 1.5 mi NE; S Turners Pasture,48.985833,-101.258611,SBMNH,1931,1
Antler; 3 mi NE,49.003889,-101.241389,SBMNH,1926,1
Antler; 4 mi NW,49.018611,-101.333611,SBMNH,1929,1
Antler; 4 mi SW,48.928611,-101.344722,SBMNH,1929,1
Antler; 4-1/4 mi SE,48.921667,-101.227222,SBMNH,1928,1
Antler; 5 mi NW,49.03,-101.347222,SBMNH,1930,1
Antler; 5 mi NW in Manitoba Canada,49.018611,-101.333611,SBMNH,1929,1
Antler; 6 mi SE,48.903611,-101.199722,SBMNH,1927,1
Antler; NE,48.970833,-101.284167,SBMNH,1930,1
"Bantry, 6 mi E",48.49826,-100.47896,UMMZ,1936,1
Benson Co,48.0833,-99.45,NA,1897,1
Benson's Cr.; island in W end of Devil's Lake,48.044579,-99.051361,ANSP,1897,1
"Benson, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1895,1
Big Bend of Heart R.,46.7675,-100.84194,MCZ,1873,1
Bottineau; Turtle Mountains N of,48.922222,-100.448889,SBMNH,1926,1
Bottineau; Turtle Mountains N of,48.922222,-100.448889,SBMNH,1931,1
Bowman,46.17888,-103.395081,ANSP,1932,1
Bucyrus,46.063894,-102.788212,ANSP,1932,1
Cando,48.48667,-99.20972,MCZ,1895,1
Cando; E of,48.486667,-99.196667,SBMNH,1894,1
Cando; Near,48.486667,-99.203611,SBMNH,1890,1
"Carlyle, Pembina, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1896,1
Chase Lake; Near,47.040278,-99.437778,SBMNH,1912,1
Church's Ferry; Several mi S,48.173056,-99.189444,SBMNH,1892,1
"Columbus, 7 Mi N",48.799999,-102.783333,UMMZ,1924,1
