locality,decimalLat,decimalLon,institutio,year,n
Rainbow Falls,47.53833,-111.19917,MCZ,1889,8
Miles city,46.416667,-105.85,UCLA,1920,7
Great Falls,47.50028,-111.30083,MCZ,1889,3
Lake Bowdoin,48.333332,-107.900002,UMMZ,1936,3
Miles city,46.416667,-105.85,UCLA,1919,3
Belt Creek,47.55306,-110.9575,MCZ,1881,2
Fort Custer,45.72694,-107.57444,MCZ,1885,2
Great Falls,47.50028,-111.30083,MCZ,1885,2
Great Falls,47.50028,-111.3,MCZ,1886,2
no specific locality,45.683333,-109.433333,UMMZ,1914,2
no specific locality,45.683333,-109.433333,UMMZ,1917,2
Belt Creek,47.55306,-110.9575,MCZ,1889,1
Belt Creek (Dry Fork),47.55,-110.95,MCZ,1889,1
Belt Mountains,46.75,-111.58333,MCZ,1880,1
Belt Mts,46.75,-111.59556,MCZ,1880,1
Belt Mts.,46.45417,-111.26444,MCZ,1882,1
Belt R.,47.55,-110.95,MCZ,1889,1
Belt River,47.55306,-110.95667,MCZ,1889,1
Belt River (Dry Fork),47.55306,-110.95667,MCZ,1889,1
Belt River Canon,47.41139,-110.65667,MCZ,1889,1
"Belt River, near Canon",47.38611,-110.92472,MCZ,1889,1
"Bridgers Creek, Gallatin county",46,-110.5,NA,1888,1
Chief Mountain Lake,48.9328,-113.6093,MNHN,1874,1
"Columbia Falls ,foot of Teakettle Mt, Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1899,1
Crooked Falls,47.5,-111.3,MCZ,1888,1
Decker,45.016666,-106.866669,UMMZ,1948,1
Falls of Missouri,47.57,-111.12306,MCZ,1889,1
Fort Benton,47.81833,-110.6675,MCZ,1860,1
Fort Custer,45.65,-108.71444,MCZ,1881,1
"Fort Keogh [=W Miles City], Custer county",46.4083,-105.8583,NA,1889,1
Ft. Custer,45.7325,-107.61139,MCZ,1885,1
Gold Run,47.07139,-110.64056,MCZ,1882,1
Great Falls,47.50028,-111.30083,MCZ,1883,1
Great Falls,47.50028,-111.30083,MCZ,1892,1
Great Falls,47.50028,-111.3,MCZ,1889,1
Great Falls,47.50028,-111.3,MCZ,1890,1
"Libby, Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1919,1
Lower Sun River,47.3,-111.36667,MCZ,1889,1
MILES CITY; MOUTH OF TONGUE RIVER,46.416667,-105.85,UCLA,1919,1
MILES CITY; MOUTH OF TONGUE RIVER,46.416667,-105.85,UCLA,1920,1
MILES CITY; N SIDE YELLOWSTONE RIVER,46.416667,-105.85,UCLA,1919,1
Middle Belt River,47.41139,-110.65667,MCZ,1889,1
Midvale (East Glacier Park),48.44139,-113.21722,MCZ,1907,1
Miles city,46.416667,-105.85,UCLA,1900,1
"Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1889,1
Mouth of the Sand Coulee,47.39944,-111.16694,MCZ,1889,1
"North Fork Creek, Blaine, Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1914,1
"North Fork Creek, Blaine, Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1916,1
Pompeys Pillar,45.99139,-107.95139,MCZ,1873,1
Rainbow Falls,47.5,-111.3,MCZ,1889,1
Rainbow Falls,47.53333,-111.20472,MCZ,1889,1
Rainbow Falls,47.53833,-111.19917,MCZ,1888,1
Sun River,47.533379,-111.72138699999999,CUMV,1867,1
Upper Box Elder Cr.,48.31722,-110.0125,MCZ,1889,1
"Upper Mo. and Yellowstone, Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1892,1
Woodpile Coulee,48.934444,-109.45,SBMNH,1915,1
"confluence of Pryor Creek and Yellowstone River, near Pryor's Fork [near present town of Huntley, MT]",45.9,-108.3,MCZ,1860,1
near old Fort Sarpy,46.28056,-106.46028,MCZ,1873,1
"small foothills of the Bear Paw Mtns, Chouteau, Montana, USA",47.0003,-109.751,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1899,1
NA,45.7305,-107.5743,MNHN,1885,1
