locality,decimalLat,decimalLon,institutio,year,n
"AUGUSTA, 6.5 MI N, 17.2 MI W OF",47.5835028,-112.7615779,KU,1949,41
"CUSTER, 14 MI S OF; BIG HORN RIVER",45.9264443,-107.5744033,KU,1946,40
PRYOR MOUNTAINS; HEAD OF SAGE CREEK,45.1901,-108.4423,KU,1947,34
"ST MARY, 7 MI S OF; TIMBERLINE, E FACE DIVIDE MT",48.6671,-113.3821,KU,1946,28
Springdale,45.7382,-110.2267,KU,1948,25
"BABB, 1.5 MI S, 2.5 MI W OF",48.83859,-113.49163,KU,1949,20
"ST MARY, 6 MI S OF",48.6567969,-113.4270158,KU,1946,19
"LIVINGSTON, 4 MI S, 15 MI E OF; W BOULDER RIVER",45.60448,-110.25104,KU,1947,18
"GLENDIVE, 1 MI W OF",47.1053,-104.7336,KU,1946,16
"MALTA, 1 MI N, 1 MI W OF",48.37417,-107.89602,KU,1948,16
Babb,48.8652,-113.434,SDNHM,1936,15
"CUT BANK, 1 MI W OF",48.633,-112.34803,KU,1948,14
"GLENDIVE, 1 MI W OF",47.1053,-104.7336,KU,1949,14
"BLACKFEET, 10 MI S, 4 MI E OF",48.4360019,-112.7894933,KU,1948,13
"AUGUSTA, 6.5 MI N, 17.125 MI W OF",47.5835028,-112.7615779,KU,1949,12
"LEWISTOWN, 20 MI NW OF; JUDITH RIVER",47.26722,-109.7278,KU,1938,12
"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER RIVER",45.56104,-110.313,KU,1947,12
LIVINGSTON; 6 MI S,45.616667,-110.55,UCLA,1920,12
"FORSYTH, 1 MI S, 2 MI E OF",46.2517689,-106.6359301,KU,1946,10
"MEDICINE LAKE CITY, 3 MI S OF",48.4554583,-104.5047446,KU,1948,9
"MOSBY, 9.5 MI E OF",46.9922,-107.68271,KU,1946,9
"BABB, 2.5 MI S, 1.5 MI W OF",48.82412,-113.49163,KU,1949,8
"CUSTER, 15 MI S OF",45.9132445,-107.5594027,KU,1948,8
Eagle Creek,48.010983,-109.811851,FMNH,1897,6
Jordan,47.320801,-106.910027,FMNH,1915,6
N/A,46.399,-109.663,UF,1949,6
Billings,45.783249,-108.500687,FMNH,1897,5
"CULBERTSON, 5 MI S, 3 MI E OF",48.0718885,-104.4519579,KU,1948,5
"WILSALL AND WHITE SULFUR SPRINGS, BETWEEN",46.267,-110.772,KU,1949,5
"EDGAR, 10 MI E OF",45.4648396,-108.6457282,KU,1917,4
