class,species,stateProvi,locality,decimalLat,decimalLon,year,institutio
Aves,Eremophila alpestris,North Dakota,Cando,48.48667,-99.20972,1895,MCZ
Aves,Bartramia longicauda,North Dakota,Rock Lake,48.83333,-99.18333,1895,MCZ
Aves,Anser caerulescens,North Dakota,Sweetwater Lake,48.21533,-98.82381,1901,NHMD
Aves,Aythya affinis,North Dakota,Lac Aux Morts,48.2448,-98.91266,1901,NHMD
Amphibia,Anaxyrus woodhousii,North Dakota,Goodall,48,-102.608,1915,USNM
Aves,Eremophila alpestris,North Dakota,Rock L.,48.82667,-99.205,1895,MCZ
Mammalia,Urocitellus richardsonii,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Battleview,48.577927,-102.791954,1940,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Sorex cinereus,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Thomomys talpoides,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Thomomys talpoides,North Dakota,Cannonball R,46.199902,-101.188011,1887,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Thomomys talpoides,North Dakota,Cannonball R,46.199902,-101.188011,1887,FMNH
Mammalia,Poliocitellus franklinii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Zapus hudsonius,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Mustela nivalis,North Dakota,Grafton,48.41219,-97.41066,1929,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Microtus pennsylvanicus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Lepus townsendii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Microtus pennsylvanicus,North Dakota,Steele,46.855385,-99.915779,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Microtus ochrogaster,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Sylvilagus floridanus,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Poliocitellus franklinii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Taxidea taxus,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Thomomys talpoides,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Poliocitellus franklinii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Thomomys talpoides,North Dakota,Cannonball R,46.199902,-101.188011,1887,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Poliocitellus franklinii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Microtus pennsylvanicus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Dickinson,46.880108,-102.789757,1887,FMNH
Mammalia,Myodes gapperi,North Dakota,Grafton,48.41219,-97.41066,1929,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Battleview,48.577927,-102.791954,1940,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Poliocitellus franklinii,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Dickinson,46.880108,-102.789757,1886,FMNH
Mammalia,Peromyscus maniculatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Oakes,46.139271,-98.090179,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Zapus hudsonius,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Braddock,46.565289,-100.091492,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Jamestown,46.911488,-98.709084,1902,FMNH
Mammalia,Myodes gapperi,North Dakota,Grafton,48.41219,-97.41066,1929,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Battleview,48.577927,-102.791954,1940,FMNH
Mammalia,Myodes gapperi,North Dakota,Grafton,48.41219,-97.41066,1929,FMNH
Mammalia,Sylvilagus floridanus,North Dakota,Dickinson,46.880108,-102.789757,1886,FMNH
Mammalia,Onychomys leucogaster,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Ictidomys tridecemlineatus,North Dakota,Steele,46.855686,-99.916382,1902,FMNH
Mammalia,Microtus ochrogaster,North Dakota,Minnewaukan,48.0714,-99.252312,1902,FMNH
Mammalia,Aeorestes cinereus,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Bottineau,48.825108,-100.443916,1902,FMNH
Mammalia,Urocitellus richardsonii,North Dakota,Minot,48.233311,-101.296646,1902,FMNH
