class,species,stateProvi,locality,decimalLat,decimalLon,year,institutio
Aves,Ammodramus savannarum,South Dakota,Clay Co.,42.73333,-96.96667,1882,MCZ
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Canis lupus,South Dakota,5 mi NE Wounded Knee,43.178688,-102.280632,1940,FMNH
Mammalia,Chaetodipus hispidus,South Dakota,"Pine Ridge, Corrall Draw",43.025585,-102.556244,1894,FMNH
Mammalia,Peromyscus leucopus,South Dakota,Spring Creek,43.791889,-102.82856,1894,FMNH
Mammalia,Ondatra zibethicus,South Dakota,Custer,43.766686,-103.59877,1894,FMNH
Mammalia,Neotoma cinerea,South Dakota,"Pine Ridge, Corral Draw",43.025585,-102.556244,1894,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mustela frenata,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Thomomys talpoides,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Neotoma cinerea,South Dakota,Custer,43.766686,-103.59877,1894,FMNH
Mammalia,Zapus hudsonius,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,Spring Creek,43.791889,-102.82856,1895,FMNH
Mammalia,Sylvilagus nuttallii,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mustela frenata,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Ictidomys tridecemlineatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Bison bison,South Dakota,"Ft Pierre, James Phillips Ranch",44.35458,-100.374008,1910,FMNH
Mammalia,Zapus hudsonius,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Zapus hudsonius,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Reithrodontomys megalotis,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mephitis mephitis,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,Custer,43.766686,-103.59877,1894,FMNH
Mammalia,Tamias minimus,South Dakota,"Black Hills, 8 mi NE Hill City, Palmer Gulch",44.010689,-103.459366,1943,FMNH
Mammalia,Castor canadensis,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1941,FMNH
Mammalia,Ictidomys tridecemlineatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mustela frenata,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Reithrodontomys megalotis,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Tamiasciurus hudsonicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Dipodomys ordii,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Tamias minimus,South Dakota,"Pine Ridge Indian Reservation, Corrall Draw",43.025585,-102.556244,1894,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Zapus hudsonius,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Sylvilagus audubonii,South Dakota,Battle Creek,43.689388,-102.817162,1894,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Microtus longicaudus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Marmota flaviventris,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Zapus hudsonius,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Thomomys talpoides,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mephitis mephitis,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Tamias minimus,South Dakota,"Black Hills, 8 mi NE Hill City, Palmer Gulch",44.010689,-103.459366,1943,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Pine Ridge, Corral Draw",43.025585,-102.556244,1894,FMNH
Mammalia,Mephitis mephitis,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Dipodomys ordii,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Thomomys talpoides,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Canis latrans,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Lepus townsendii,South Dakota,Timber Lake,45.42709,-101.074821,1945,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Dipodomys ordii,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Canis latrans,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,Wounded Knee,43.140587,-102.365738,1940,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,Custer,43.766686,-103.59877,1894,FMNH
Mammalia,Neotoma cinerea,South Dakota,Spring Creek,43.791889,-102.82856,1896,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,Wounded Knee,43.140587,-102.365738,1940,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mustela frenata,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mephitis mephitis,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Neotoma cinerea,South Dakota,"Pine Ridge, Corral Draw",43.025585,-102.556244,1894,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,Wounded Knee,43.140587,-102.365738,1940,FMNH
Mammalia,Neotoma cinerea,South Dakota,"Pine Ridge, Corral Draw",43.025585,-102.556244,1894,FMNH
Mammalia,Lynx rufus,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Canis latrans,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Mephitis mephitis,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Mephitis mephitis,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Microtus longicaudus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Canis latrans,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Canis latrans,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Dipodomys ordii,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Microtus pennsylvanicus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Ictidomys tridecemlineatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Myodes gapperi,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Thomomys talpoides,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Reithrodontomys megalotis,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
Mammalia,Canis latrans,South Dakota,near Rapid City,44.080589,-103.231056,1935,FMNH
Mammalia,Peromyscus maniculatus,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Zapus hudsonius,South Dakota,"Black Hills, Palmer Gulch",43.904884,-103.52607,1943,FMNH
Mammalia,Dipodomys ordii,South Dakota,"Batesland, Big Spring Canon",43.128094,-102.101524,1939,FMNH
