locality,decimalLat,decimalLon,institutio,year,n
"Pierre, vicinity of",44.37,-100.35,SDNHM,1934,226
"Pierre, vicinity of",44.37,-100.35,SDNHM,1933,147
"Timber Lake, 14 mi SE of",45.44,-101.07,SDNHM,1937,96
"Bonesteel, near",43.08,-98.94,SDNHM,1937,79
"Vivian, 14 mi SW of",43.78355,-100.49046,SDNHM,1939,41
Van Metre (Jones Co.); 4 mi NW of,44.21523,-100.85066,SDNHM,1932,29
"Fort Pierre, 8.5 mi SSE of",44.35,-100.37,SDNHM,1932,20
"Teton, 15 mi W of Pierre",44.29,-100.51,SDNHM,1932,20
14 mi S Hot Springs,43.23,-103.47,KU,1940,11
"Onida, 4.5 mi W and 2 mi N of",44.71,-100.06,SDNHM,1932,11
"Interior, 4 mi E of",43.73,-101.98,SDNHM,1939,9
"Onida, 4.5 mi W of and 2 mi N of",44.71,-100.06,SDNHM,1932,9
4 MI N W VAN METER [= VAN METRE],44.200379,-100.850852,UMMZ,1932,8
Buffalo,45.58,-103.55,SDNHM,1938,8
"Dixon, NE of",43.38,-99.47,SDNHM,1937,8
"Wood, 5 mi S of",43.5,-100.48,SDNHM,1949,8
Fort Pierre; 8.5 mi SE of,44.35,-100.37,SDNHM,1932,7
Teton; 15 mi W of Pierre,44.29,-100.51,SDNHM,1932,7
Wall,43.99,-102.24,SDNHM,1941,7
"Wall, 3 mi W of",43.99,-102.24,SDNHM,1938,7
7 MI S KADOKA,43.732492,-101.509866,UMMZ,1934,6
Sandhills around Martin,43.1725,-101.73265,TNHC,1925,6
Buffalo; 14 mi NW of,45.58,-103.55,SDNHM,1944,5
Igloo,43.202472,-103.856867,CUMV,1947,5
Rapid City,44.08,-103.23,KU,1940,5
Thunder Hawk; 10 mi S of,45.94,-101.97,SDNHM,1933,5
Winner,43.37667,-99.85901,TNHC,1942,5
"Wood, 5 mi S of",43.5,-100.48,SDNHM,1948,5
Ardmore,43.02,-103.66,USNM,1915,4
"Buffalo, 12 mi NW of",45.58,-103.55,USNM,1941,4
"Eagle Butte and Cheyenne Ageny, between",45,-101.23,SDNHM,1943,4
10 MI S KADOKA,43.68904,-101.509866,UMMZ,1934,3
18 mi NE Winner,43.56,-99.6,KU,1942,3
2 mi. S. Lead Country Club,44.238534,-103.81167,CUMV,1948,3
8 1/2 MI S E FT PIERRE,44.266481,-100.252006,UMMZ,1932,3
Cheyenne River,43.48,-103.1,KU,1926,3
FRENCH CR 3 MI E CUSTER,43.768847,-103.536026,UMMZ,1934,3
FRENCH CR 5 MI E CUSTER,43.764908,-103.513817,UMMZ,1934,3
Igloo,43.2,-103.86,CUMV,1947,3
10 MI S E KADOKA,43.731375,-101.367884,UMMZ,1934,2
14 mi. N of Cheyenne Agency,44.97275,-100.72,UNSM,1934,2
15 MI S KADOKA,43.616619,-101.509866,UMMZ,1934,2
Cactus Hills,43.5697,-96.67227,TNHC,1905,2
Carter: So Dakota,43.39,-100.2,MCZ,1926,2
Creighton,44.26,-102.21,SDNHM,1935,2
GRACE COOLIDGE CR 3 MI ABOVE GAME LODGE,43.794233,-103.412939,UMMZ,1934,2
GRACE COOLIDGE CR ST GAME LODGE,43.82677,-103.220149,UMMZ,1934,2
Hermosa,43.84,-103.19,USNM,1894,2
SE area of county,43.219,-101.675,KU,1924,2
SE in Sand Hills,43.219,-101.675,KU,1924,2
"Wall, 4 mi S of",43.99,-102.24,SDNHM,1949,2
"Wall, 5 mi NW of",43.99,-102.24,SDNHM,1946,2
"Wood, Rattlesnake Butte S of",44.94993,-101.85826,SDNHM,1938,2
1 MI ABOVE STATE GAME LODGE,43.785584,-103.383804,UMMZ,1934,1
1 MI W KADOKA,43.83388,-101.529945,UMMZ,1934,1
10 mi. NW Lead,44.45,-103.91,UNSM,1939,1
12 MI N W FT PIERRE,44.476356,-100.545612,UMMZ,1933,1
14 MI S KADOKA,43.631103,-101.509866,UMMZ,1934,1
16 MI N W CUSTER,43.930298,-103.825724,UMMZ,1935,1
2 MI ABOVE STATE GAME LODGE,43.800069,-103.383804,UMMZ,1934,1
3 MI S E OF HILL CITY,43.901752,-103.532529,UMMZ,1948,1
4 1/2 MI W ONIDA,44.708001,-100.151542,UMMZ,1932,1
4 MI E PRINGLE,43.608564,-103.513787,UMMZ,1931,1
4 mi S Colome,43.2,-99.71,KU,1933,1
6 mi N Hamil,43.68157,-99.68134,KU,1945,1
7 MI N E HOT SPRINGS BEAVER CR,43.521396,-103.371671,UMMZ,1935,1
7 MI S W KADOKA,43.762146,-101.609253,UMMZ,1934,1
8 MI E KADOKA,43.83377,-101.349231,UMMZ,1934,1
9 1/2 MI S E KADOKA,43.736505,-101.374983,UMMZ,1934,1
9 MI S KADOKA,43.703524,-101.509866,UMMZ,1934,1
ABOVE MOUTH PASS CR 10 MI S KADOKA,43.749717,-101.469311,UMMZ,1934,1
"Andover, 5 mi E",45.41,-97.9,PSM,1949,1
Ardmore,43.02,-103.66,USNM,1914,1
BELVIDERE,43.831937,-101.271531,UMMZ,1931,1
Badlands,43.755225,-102.369232,PSM,1947,1
Barnard,45.73,-98.5,LACM,1931,1
"Battle Creek, Cheyenne River",43.86,-102.69,USNM,1894,1
Belle Fouche,44.67207,-103.84971,SDNHM,1941,1
Big Stone Lake,45.312805,-96.473007,UNSM,1922,1
Big Stone Lake,45.312805,-96.473007,UNSM,1923,1
Black Hawk,44.151553,-103.312813,CUMV,1948,1
"Brule Creek, 12 mi. E of Vermillion",42.74,-96.64,UNSM,1923,1
Bryant Lake near Chester,43.92095,-96.94773,TNHC,1942,1
Carter: So Dakota,43.39,-100.2,MCZ,1925,1
Chamberlain,43.81,-99.33,USNM,1893,1
Chamberlain,43.81083,-99.33066,TNHC,1943,1
