locality,decimalLat,decimalLon,institutio,year,n
Billings,45.7241391,-108.5225281,USNM,1909,5
Crow Agency,45.6020465,-107.464496,USNM,1916,5
"Yellowstone River, 5 mi W Forsyth",46.26478,-106.785312,MVZ,1940,4
East Pryor Creek,45.4606,-108.317,USNM,1900,3
2 mi W Fort Howe Ranger Station,45.292546,-106.188997,MVZ,1947,2
Big Muddy River,48.1634575,-104.6294446,USNM,1874,2
Glendive,47.1061579,-104.7174338,USNM,1916,2
Great Falls,47.5166139,-111.3026347,USNM,1894,2
JORDAN,47.318869,-106.909027,UMMZ,1917,2
Lame Deer,45.6207514,-106.6754733,USNM,1916,2
1 mi N Fort Howe Research Station,45.30535,-106.141915,MVZ,1947,1
1 mi W Fort Howe Ranger Station,45.279825,-106.251513,MVZ,1947,1
10 MI N W MILES CITY,46.509746,-105.986444,UMMZ,1939,1
10 mi N Lee,45.964873,-106.650522,MVZ,1940,1
11 mi W Ashland,45.599702,-106.497642,MVZ,1947,1
14 MI N W OF ALZADA,45.16557,-104.616315,UMMZ,1939,1
16 MI N W BROADUS,45.590085,-105.633573,UMMZ,1939,1
"17 mi SE Miles City, on Pumkin Cr. (near US 212).",46.20182,-105.64577,BYU,1949,1
2 1/2 MI W OF KEVIN,48.743392,-112.030809,UMMZ,1932,1
2 1/2 MI W OF KEVIN,48.745415,-112.032904,UMMZ,1933,1
2 MI S HEDGESVILLE,46.428321,-109.501905,UMMZ,1933,1
2 MI S HEDGESVILLE,46.430385,-109.502851,UMMZ,1932,1
2 MI S MILES CITY,46.401473,-105.847051,UMMZ,1934,1
2 mi E Lame Deer,45.624559,-106.626905,MVZ,1947,1
2 mi NW Lame Deer,45.647139,-106.700067,MVZ,1940,1
2 mi from Shriver,45.209999,-108.474095,MVZ,1947,1
25 MI S HARLOWTON,46.070408,-109.842124,UMMZ,1932,1
3 MI S SIDNEY,47.670942,-104.157075,UMMZ,1939,1
4 mi W Fort Howe Ranger Station,45.285819,-106.222546,MVZ,1940,1
43 MI S E MILES CITY HWY 22,45.786204,-105.66228,UMMZ,1939,1
5 mi W Havre,48.563962,-109.790049,MVZ,1937,1
6 mi W Park City,45.632594,-109.043055,MVZ,1947,1
6.5 MI S E BROADUS,45.39816,-105.352892,UMMZ,1939,1
7 mi SE Lame Deer,45.576474,-106.544012,MVZ,1947,1
8 MI E OF BIG TIMBEE,45.823464,-109.798721,UMMZ,1926,1
8 MI S HARLOWTON,46.316307,-109.82957,UMMZ,1935,1
8 MI S HARLOWTON,46.317005,-109.83088,UMMZ,1926,1
8 MI S HARLOWTON,46.317222,-109.829226,UMMZ,1932,1
