locality,decimalLat,decimalLon,institutio,year,n
"Grinnell, 4 mi W of",48.25,-102.92,USNM,1915,3
Cannon Ball,46.3938814,-100.597301,USNM,1915,2
Goodall,48,-102.608,USNM,1915,2
Hankinson,46.0718984,-96.9019851,USNM,1912,2
Wahpeton,46.2711988,-96.6099777,USNM,1915,2
1 mi. North East of Ft. Totten,47.9901195,-98.9775226,UCM,1946,1
8 MI S GRANVILLE,48.152004,-100.842644,UMMZ,1932,1
BOTTINEAU,48.82723,-100.445698,UMMZ,1922,1
Bantry,48.4966792,-100.6089233,MVZ,1941,1
Bismark (= Bismarck),46.8154794,-100.786311,USNM,1909,1
"Cannon Ball, 4 mi N of",46.4473,-100.594,USNM,1915,1
"Cannon Ball, 6 mi N of, Palace Butte",46.4736812,-100.5953017,USNM,1915,1
Devils Lake,48.05,-98.92,USNM,1907,1
Devils Lake,48.1126886,-98.4996528,USNM,1907,1
Fishlake (= Fish Lake),48.1084839,-99.5601862,USNM,1912,1
Flasher,46.45469,-101.23232,RSKM,1949,1
HIDDEN WOOD CREEK AT HETTINGER,45.994121,-102.632876,UMMZ,1926,1
"Hankinson, near, Copley Lake",46.0718984,-96.9019851,USNM,1929,1
"Hazelton, 17 mi SW of",46.31069,-100.53405,SDNHM,1935,1
"Hwy. 3, near Harvey",47.7692822,-99.9370945,MVZ,1941,1
Kenmare,48.676572,-102.0793717,USNM,1913,1
"Kenmare, Lake Des Lacs",48.676572,-102.0793717,USNM,1929,1
Knox,48.3401834,-99.6902927,MVZ,1941,1
LAKE UPSILON TURTLE MTS,48.967224,-99.840618,UMMZ,1920,1
LITTLE MISSOURI NEAR MEDORA,46.91276,-103.529461,UMMZ,1922,1
LITTLE MISSOURI R 4 MI BELOW MAMOUTH [ = MARMARTH],46.248377,-103.912694,UMMZ,1926,1
Larimore,47.9099922,-97.6264233,USNM,1915,1
Lidgerwood,46.0749974,-97.1462927,USNM,1915,1
Lost Wood (= Lostwood),48.4754699,-102.4243801,USNM,1915,1
MEDORA,46.913903,-103.524354,UMMZ,1921,1
MINOT,48.23251,-101.296273,UMMZ,1932,1
MINOT,48.23251,-101.296273,UMMZ,1933,1
MONAHANS RANCH SHEYENNE RIVER,47.853718,-98.95263,UMMZ,1920,1
"N.Dak, 4 miles north of Medora",46.97181,-103.52435,MCZ,1922,1
NEAR BOTTINEAU,48.82723,-100.445698,UMMZ,1919,1
North Dakota University.,47.922808,-97.076865,BYU,1920,1
PEACEFUL VALLEY RANCH NEAR MEDORA,46.958625,-103.504075,UMMZ,1922,1
POND ON ROAD TO DEVILS LAKE,48.112248,-98.876031,UMMZ,1920,1
Pembina,48.9653948,-97.2414206,USNM,1873,1
RAILROAD POND MEDORA,46.913903,-103.524354,UMMZ,1920,1
RED WILLOW LAKE N OF BINFORD,47.647406,-98.373733,UMMZ,1922,1
ROAD TO FT TOTTEN,47.97795,-99.02019,UMMZ,1920,1
"Red River, North of North Dakota Univ.",48.053848,-97.07893,BYU,1920,1
STUMP LAKE,47.877395,-98.361287,UMMZ,1920,1
SULLYS HILL DEVILS LAKE,47.998897,-98.950875,UMMZ,1919,1
"Towner, 8 mi N of",48.4592801,-100.4093166,USNM,1915,1
Towner: N Dakota,48.347,-100.40711,MCZ,1934,1
Turtle Mountain,48.84347,-100.02803,MCZ,1873,1
Upham,48.5799787,-100.727528,MVZ,1941,1
"Valley City, near, Moon Lake",46.8609911,-98.1544304,USNM,1917,1
W OF LANGDON,48.760906,-98.434091,UMMZ,1940,1
WILLISTON SANDY COULEE,48.152809,-103.652735,UMMZ,1920,1
"Williston, near, at Whitehouse Ranch",48.1584632,-103.6304137,USNM,1913,1
Wood Lake,47.9,-98.8417,USNM,1915,1
ca Havana,45.950916,-97.6199662,KU,1933,1
