locality,decimalLat,decimalLon,institutio,year,n
"Towner, 8 mi N of",48.4592801,-100.4093166,USNM,1915,2
Goodall,48,-102.608,USNM,1915,1
"Grinnell, 4 mi W of",48.25,-102.92,USNM,1915,1
MOUSE RIVER 8 MI N W KRAMER,48.766707,-100.848333,UMMZ,1936,1
MOUSE RIVER MINOT,48.238282,-101.297081,UMMZ,1932,1
McHenry,47.5746883,-98.5874504,USNM,1912,1
SHEYENNE RIVER [NEAR WARWICK NEAR EASTGATE],47.853718,-98.95263,UMMZ,1919,1
Sharon,47.5984912,-97.8955289,USNM,1912,1
TURTLE MOUNTAINS,48.926611,-99.997853,UMMZ,1919,1
WALHALLA,48.923328,-97.918148,UMMZ,1940,1
Wahpeton,46.2711988,-96.6099777,USNM,1915,1
unspecified,46.8736605,-96.8037466,CUMV,1915,1
