locality,decimalLat,decimalLon,institutio,year,n
8 MI S KADOKA,43.718008,-101.509866,UMMZ,1934,2
4 mi. E Emery,43.6,-97.54,CUMV,1940,1
ANTELOPE CR ROOSEVELT IND RES,43.279062,-100.582062,UMMZ,1934,1
Brookings,44.31136,-96.79839,TNHC,1925,1
Chamberlain,43.81,-99.33,USNM,1893,1
FOUNTAINPERISH CR 8 MI S KADOKA,43.718008,-101.509866,UMMZ,1934,1
HAY CR 25 MI S E KADOKA,43.550842,-101.427283,UMMZ,1934,1
"Hermosa, Battle Creek",43.83,-103.19,USNM,1894,1
Herrick,43.23,-99.43,CAS,1942,1
KODAK PT 12 MI S KADOKA,43.66833,-101.540145,UMMZ,1934,1
"Mitchell, Firesteel Creek",43.7,-97.97,USNM,1893,1
North Cave Hills,45.83,-103.47,UNSM,1910,1
